 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[pe], ,おたすけ！アン子ちゃん (シノビアンレディーのテーマ 弐)(EX),おたすけ！アン子ちゃん (シノビアンレディーのテーマ 弐),173,1:57,1290,強(+0.478±0.5)

[pe], ,狂水一華(EX),狂水一華,160, ,1254,中(-0.104±0.5)

[pe], ,コンビニエンスドラマ(EX),コンビニエンスドラマ,102,1:53,1121,中(-0.329±0.5)

[pe], ,ネリと琥珀糖(EX),ネリと琥珀糖,170,1:57,1158,中(-0.278±0.6)

[pe], ,ハイパージャパネスク(UPPER)(EX),夢幻ノ光,171,1:50,1113,弱(-0.880±0.5)

[pe], ,プロレタリア狂騒歌(EX),プロレタリア狂騒歌,190,1:56,1345,強(+0.895±0.3)

[pe],[版],ぼくらの16bit戦争(EX),ぼくらの16bit戦争,122,1:51,1155,中(-0.020±0.6)

[pe], ,星屑の夜果て(EX),星屑の夜果て,174,2:06,1269,中(+0.131±0.6)

[pe], ,ボタン(EX),ボタン,206,1:48,1313,強(+0.741±0.5)

[pe], ,マイアガル、マイオドル(EX),マイアガル、マイオドル,177,1:58,1229,強(+0.421±0.7)

[pe], ,ランカーキラーガール(EX),ランカーキラーガール,200,2:00,1261,中(-0.166±0.7)

[pe], ,Afterimage d'automne(EX),Afterimage d'automne,232,2:00,1323,中(+0.383±0.6)

[pe], ,BEEF(EX),BEEF,175, ,1191,弱(-0.695±0.5)

[pe], ,Blind(EX),Blind,160,1:58,1211,中(-0.369±0.5)

[pe], ,BLSTR(EX),BLSTR,160, ,1136,中(-0.071±0.5)

[pe], ,CARTOON☆RagHour(EX),CARTOON☆RagHour,160, ,1179,中(+0.092±0.5)

[pe], ,Cloud 9(EX),Cloud 9,153,1:56,1138,中(-0.222±0.6)

[pe], ,Come to Life(EX),Come to Life,90～180,2:01,1164,弱(-0.486±0.6)

[pe], ,Crumble Soul(EX),Crumble Soul,170,1:55,1186,中(-0.233±0.5)

[pe], ,H@appy Fever Forever!!(EX),H@appy Fever Forever!!,42～672,2:18,1343,中(+0.387±0.6)

